barcode	filesize	read_length	reads_total	reads_mapped
TCGA-CV-A463-01A-11R-A266-07	6120178308	48	139253044	134082897
TCGA-CV-A464-01A-11R-A266-07	6169824390	48	139331367	135197189
TCGA-CV-A465-01A-11R-A266-07	6647250396	48	151979906	147926302
TCGA-CV-A468-01A-11R-A266-07	5888917377	48	133816189	128876840
TCGA-CV-A6JD-01A-11R-A31N-07	6560137852	48	146488826	141363260
TCGA-CV-A6JE-01A-11R-A31N-07	6349204700	48	144314908	126225841
TCGA-CV-A6JM-01A-11R-A31N-07	7286328700	48	173710092	155024944
TCGA-CV-A6JN-01A-11R-A31N-07	6218605257	48	146933664	137332273
TCGA-CV-A6JO-01B-11R-A34R-07	6348332275	48	140627681	134327663
TCGA-CV-A6JU-01A-11R-A31N-07	6710902639	48	154778031	139187838
TCGA-CV-A6JY-01A-11R-A31N-07	5886797891	48	127968943	123708926
TCGA-CV-A6JZ-01A-11R-A31N-07	8807093453	48	193673821	187096573
TCGA-CV-A6K1-01A-11R-A31N-07	6737134664	48	154946476	137476256
TCGA-CX-7082-01A-11R-2016-07	8544805874	48	191363068	185964495
TCGA-CX-7085-01A-21R-2016-07	7580157086	48	168273139	160997752
TCGA-CX-7086-01A-11R-2081-07	9719051670	48	194259952	189531411
TCGA-CX-7219-01A-11R-2016-07	8832610168	48	194605748	188937987
TCGA-CX-A4AQ-01A-11R-A24Z-07	5935885376	48	137787824	127529346
TCGA-D6-6515-01A-21R-1873-07	7646432607	48	159064887	153497097
TCGA-D6-6823-01A-11R-1915-07	10220551826	48	230737736	225783583
TCGA-D6-6824-01A-11R-1915-07	7116513334	48	163706789	159636927
TCGA-D6-6825-01A-21R-1915-07	7689574468	48	172138714	168029488
TCGA-D6-6826-01A-11R-1915-07	10273485490	48	240047291	219244422
TCGA-D6-6827-01A-11R-1915-07	8325718877	48	177445809	172555034
TCGA-D6-8568-01A-11R-2403-07	4049230137	48	96930772	91564366
TCGA-D6-8569-01A-11R-2403-07	3974367744	48	94401169	91031541
TCGA-D6-A4Z9-01A-11R-A24Z-07	6115278266	48	138405295	134552588
TCGA-D6-A4ZB-01A-11R-A24Z-07	5547811135	48	125481856	120924996
TCGA-D6-A6EK-01A-11R-A31N-07	5331371753	48	120512376	112857661
TCGA-D6-A6EM-01A-21R-A31N-07	5405884623	48	120394182	113110827
TCGA-D6-A6EN-01A-11R-A31N-07	5598449956	48	125287701	118398272
TCGA-D6-A6EO-01A-11R-A31N-07	8892644540	48	188421588	180312752
TCGA-D6-A6EP-01A-11R-A31N-07	6418709045	48	141784654	132621838
